Date,Open price,Highest price,Lowest price,Close price,Volume
"Oct 06, 2020","3,392.25","3,421.75","3,330.75","3,353.25","1,150,090"
"Oct 05, 2020","3,358.00","3,400.00","3,346.50","3,393.00","641,071"
"Oct 02, 2020","3,366.75","3,374.75","3,300.25","3,339.25","1,259,792"
"Oct 01, 2020","3,344.75","3,387.75","3,343.75","3,367.75","937,681"
"Sep 30, 2020","3,330.00","3,384.00","3,291.25","3,352.00","1,140,694"
"Sep 29, 2020","3,348.50","3,363.00","3,316.50","3,333.75","729,692"
"Sep 28, 2020","3,291.25","3,351.25","3,288.00","3,346.00","809,590"
"Sep 25, 2020","3,243.50","3,296.50","3,206.25","3,287.25","1,030,582"
"Sep 24, 2020","3,227.75","3,268.25","3,198.00","3,238.00","1,288,513"
"Sep 23, 2020","3,304.00","3,319.75","3,220.75","3,231.25","1,165,489"
"Sep 22, 2020","3,271.00","3,309.50","3,256.25","3,299.25","946,638"
"Sep 21, 2020","3,314.75","3,326.50","3,217.75","3,275.00","1,256,851"
"Sep 18, 2020","3,356.25","3,374.00","3,341.00","3,353.60","1,072,178"
"Sep 17, 2020","3,392.75","3,397.75","3,320.50","3,361.50","106,003"
"Sep 16, 2020","3,406.25","3,429.75","3,384.00","3,389.50","96,782"
"Sep 15, 2020","3,378.75","3,419.25","3,376.50","3,405.25","77,209"
"Sep 14, 2020","3,350.00","3,402.75","3,344.50","3,382.50","132,567"
"Sep 11, 2020","3,345.50","3,376.25","3,308.75","3,333.75","451,061"
"Sep 10, 2020","3,395.75","3,424.25","3,327.25","3,340.50","1,337,442"
"Sep 09, 2020","3,320.00","3,424.00","3,295.50","3,400.25","1,014,612"
"Sep 08, 2020","3,420.50","3,447.25","3,327.50","3,335.50","2,026,634"
"Sep 04, 2020","3,455.00","3,484.25","3,347.75","3,417.50","1,783,626"
"Sep 03, 2020","3,578.50","3,586.50","3,424.75","3,461.50","1,908,869"
"Sep 02, 2020","3,529.00","3,587.00","3,526.25","3,579.25","924,937"
"Sep 01, 2020","3,493.75","3,530.00","3,484.25","3,527.00","701,143"
"Aug 31, 2020","3,508.50","3,524.50","3,490.00","3,499.00","680,344"
"Aug 28, 2020","3,487.75","3,509.25","3,480.75","3,504.50","713,068"
"Aug 27, 2020","3,479.50","3,498.25","3,464.75","3,485.25","1,031,257"
"Aug 26, 2020","3,444.50","3,483.50","3,436.75","3,480.25","637,492"
"Aug 25, 2020","3,427.00","3,448.75","3,421.75","3,443.00","731,804"
"Aug 24, 2020","3,398.00","3,429.25","3,394.00","3,427.50","691,359"
"Aug 21, 2020","3,383.50","3,396.25","3,356.50","3,392.50","723,095"
